DPTO_NORM,AREAS_EJE_REQUERIDAS,AREAS_EJE_CUBIERTAS,AREAS_EJE_FALTANTES,SCORE_PERTINENCIA
ALTO PARAGUAY,"AMBIENTE, GANADERIA, LOGISTICA",,"AMBIENTE, GANADERIA, LOGISTICA",0.0
ALTO PARANA,"COMERCIO, INDUSTRIA, LOGISTICA, TECNOLOGIA",TECNOLOGIA,"COMERCIO, INDUSTRIA, LOGISTICA",0.25
AMAMBAY,"AGRONOMIA, COMERCIO, LOGISTICA",AGRONOMIA,"COMERCIO, LOGISTICA",0.333
ASUNCION,"ADMINISTRACION, DERECHO, EDUCACION, SALUD, TECNOLOGIA","ADMINISTRACION, EDUCACION, SALUD, TECNOLOGIA",DERECHO,0.8
BOQUERON,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA",,"AGROINDUSTRIA, AMBIENTE, GANADERIA, LOGISTICA",0.0
CAAGUAZU,"AGROINDUSTRIA, AGRONOMIA, LOGISTICA, VETERINARIA",AGRONOMIA,"AGROINDUSTRIA, LOGISTICA, VETERINARIA",0.25
CAAZAPA,"AGRONOMIA, AMBIENTE, EDUCACION, FORESTAL","AGRONOMIA, EDUCACION","AMBIENTE, FORESTAL",0.5
CANINDEYU,"AGRONOMIA, AMBIENTE, LOGISTICA, VETERINARIA",AGRONOMIA,"AMBIENTE, LOGISTICA, VETERINARIA",0.25
CENTRAL,"ADMINISTRACION, INDUSTRIA, SALUD, TECNOLOGIA","ADMINISTRACION, SALUD, TECNOLOGIA",INDUSTRIA,0.75
CONCEPCION,"AGRONOMIA, AMBIENTE, FORESTAL, INGENIERIA, LOGISTICA","AGRONOMIA, INGENIERIA","AMBIENTE, FORESTAL, LOGISTICA",0.4
CORDILLERA,"ADMINISTRACION, TECNOLOGIA, TURISMO","ADMINISTRACION, TECNOLOGIA",TURISMO,0.667
GUAIRA,"AGRONOMIA, AMBIENTE, INDUSTRIA, TURISMO",AGRONOMIA,"AMBIENTE, INDUSTRIA, TURISMO",0.25
ITAPUA,"AGRONOMIA, COMERCIO, SALUD, TECNOLOGIA","AGRONOMIA, SALUD, TECNOLOGIA",COMERCIO,0.75
MISIONES,"AGROINDUSTRIA, GANADERIA, VETERINARIA",,"AGROINDUSTRIA, GANADERIA, VETERINARIA",0.0
NEEMBUCU,"AGROINDUSTRIA, AMBIENTE, TURISMO",,"AGROINDUSTRIA, AMBIENTE, TURISMO",0.0
PARAGUARI,"ADMINISTRACION, AGROINDUSTRIA, TURISMO",ADMINISTRACION,"AGROINDUSTRIA, TURISMO",0.333
PRESIDENTE HAYES,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",,"AMBIENTE, GANADERIA, LOGISTICA, VETERINARIA",0.0
SAN PEDRO,"AGROINDUSTRIA, AGRONOMIA, AMBIENTE, VETERINARIA",AGRONOMIA,"AGROINDUSTRIA, AMBIENTE, VETERINARIA",0.25
